"Major Department","Minor Department","Major Category","Minor Category",Item,UPC,"UPC Fixed",Description,"Case (LBS)","Landed Cost","Sale Price","Regular Price",Code,Stock,SKU,Category,Images,l,w,h,Pack,Size,Measure
"1 - GROCERY","CANNED FISH & MEAT","56 - CANNED ESCARGOT","100 - CANNED ESCARGOT SEA HAUL 115G",388249,6713171315,067131713155,"SEA HAUL ESCARGOT (2.5 DOZ LG)",8.00,23.60,31.86,37.29,EDM,1,EDM388249,"Bulk Foods & Wholesale Grocery>CANNED FISH & MEAT",https://test.tgp.crs/item_images/388249/388249.jpg,12.50,9.40,2.50,12,115,GR
"1 - GROCERY","CANNED FISH & MEAT","61 - CANNED SEAFOOD","100 - CAN SEAFOOD BRUNSWICK SNACK 100G",771923,6661317203,066613172039,"BRUNSWICK KIPPERED SNACKS",5.48,27.47,37.08,43.4,EDM,157,EDM771923,"Bulk Foods & Wholesale Grocery>CANNED FISH & MEAT",https://test.tgp.crs/item_images/771923/771923.jpg,11.80,6.20,2.50,18,100,GR
"1 - GROCERY","CANNED FISH & MEAT","66 - CANNED ANCHOVIES","200 - CAN ANCHOVIES MILLIONAIRE 50G",398289,5684400005,056844000058,"MILLIONAIRE FLAT ANCHOVIES-C",3.50,47.74,64.45,75.43,EDM,117,EDM398289,"Bulk Foods & Wholesale Grocery>CANNED FISH & MEAT",https://test.tgp.crs/item_images/398289/398289.jpg,15.00,4.50,2.20,18,50,GR
"1 - GROCERY","CANNED FISH & MEAT","76 - CANNED PASTA","300 - CANNED PASTA HEINZ 398ML",354027,5700013160,057000131609,"HEINZ ALPHAGHETTI",26.67,36.88,49.79,58.27,EDM,113,EDM354027,"Bulk Foods & Wholesale Grocery>CANNED FISH & MEAT",https://test.tgp.crs/item_images/354027/354027.jpg,11.90,8.90,8.90,24,398,ML
"1 - GROCERY","CANNED FISH & MEAT","81 - CANNED CHILLI","300 - CANNED CHILI CAMPBELLS 425G",206912,6321114489,063211144895,"CAMP CHUNKY HOMESTYLE     CHILI",13.99,29.22,39.45,46.17,EDM,238,EDM206912,"Bulk Foods & Wholesale Grocery>CANNED FISH & MEAT",https://test.tgp.crs/item_images/206912/206912.jpg,12.10,9.10,4.40,12,425,GR
"1 - GROCERY","CANNED FISH & MEAT","86 - CANNED STEW","100 - CANNED STEW PURITAN 700G-760G",767046,6414437998,064144379989,"PURITAN IRISH STEW",21.47,40.77,55.04,64.42,EDM,0,EDM767046,"Bulk Foods & Wholesale Grocery>CANNED FISH & MEAT",https://test.tgp.crs/item_images/767046/767046.jpg,13.90,10.40,5.70,12,700,GR
"1 - GROCERY","CANNED VEGETABLES","11 - CANNED BAKED BEANS","300 - CAN BAKED BEANS HEINZ 398ML",702399,5700003906,057000039066,"HZ RED KIDNEY BEANS",27.30,36.90,49.82,58.3,EDM,159,EDM702399,"Bulk Foods & Wholesale Grocery>CANNED VEGETABLES",https://test.tgp.crs/item_images/702399/702399.jpg,11.90,8.90,8.90,24,398,ML
"1 - GROCERY","CANNED VEGETABLES","13 - POUCH BAKED BEANS","100 - POUCH BAKED BEAN SEEDSOF CHAMGE 250",6253702,5849644244,058496442446,"SOC INDIAN STYLE LENTILS   250ML",3.79,18.04,24.35,28.5,EDM,41,EDM6253702,"Bulk Foods & Wholesale Grocery>CANNED VEGETABLES",https://test.tgp.crs/item_images/6253702/6253702.jpg,7.20,5.40,7.70,6,250,ML
"1 - GROCERY","CANNED VEGETABLES","16 - CANNED UNBAKED BEANS","400 - CANNED U/B BEANS UNICO 540ML",811927,6780000252,067800002528,"UNICO BLACK BEANS",37.69,35.41,47.8,55.95,EDM,41,EDM811927,"Bulk Foods & Wholesale Grocery>CANNED VEGETABLES",https://test.tgp.crs/item_images/811927/811927.jpg,13.70,10.30,9.40,24,540,ML
"1 - GROCERY","CANNED VEGETABLES","26 - CANNED CORN","410 - CAN CORN GREEN GIANT 341-398ML",199000,19056910260,190569102601,"G/G FCY CREAM CORN",26.78,36.90,49.82,58.3,EDM,212,EDM199000,"Bulk Foods & Wholesale Grocery>CANNED VEGETABLES",https://test.tgp.crs/item_images/199000/199000.jpg,12.20,9.30,9.10,24,398,ML
"1 - GROCERY","CANNED VEGETABLES","31 - CANNED BEETS","100 - CANNED BEETS AYLMER 398ML",318246,5880745960,058807459606,"AYL FCY WH ROSEBUD BEETS",13.05,17.82,24.06,28.16,EDM,137,EDM318246,"Bulk Foods & Wholesale Grocery>CANNED VEGETABLES",https://test.tgp.crs/item_images/318246/318246.jpg,11.80,8.80,4.20,12,398,ML
"1 - GROCERY","CANNED VEGETABLES","36 - CANNED ARTICHOKE","100 - CANNED ARTICHOKE TOSCA 398ML",398867,6961842031,069618420310,"TOSCA ARTICHOKE HEARTS 5-8 COUNT",13.00,31.29,42.24,49.44,CAL,10,CAL398867,"Bulk Foods & Wholesale Grocery>CANNED VEGETABLES",https://test.tgp.crs/item_images/398867/398867.jpg,11.90,9.00,4.40,12,398,ML
"1 - GROCERY","CANNED VEGETABLES","50 - VEGETABLES MISC","995 - VEGETABLES - MISC - FOODSERVICE",2469831,7041000630,070410006305,"MANCINI FRIED ONIONS",25.00,53.00,71.55,83.74,EDM,25,EDM2469831,"Bulk Foods & Wholesale Grocery>CANNED VEGETABLES",,16.00,11.80,4.70,12,28,OZ
"1 - GROCERY","CANNED VEGETABLES","71 - CANNED TOMATOES","220 - CAN TOMATOES AYLMER 796ML",931014,5880766561,058807665618,"AYL TOMATO DICED",25.00,24.43,32.98,38.6,EDM,278,EDM931014,"Bulk Foods & Wholesale Grocery>CANNED VEGETABLES",https://test.tgp.crs/item_images/931014/931014.jpg,16.20,12.20,5.10,12,796,ML
"1 - GROCERY","CANNED VEGETABLES","76 - CANNED SAUERKRAUT","995 - CANNED SAUERKRAUT FOODSERVICE",582171,5900007462,059000074627,"BICKS SAUERKRAUT WINE",23.30,32.14,43.39,50.78,EDM,37,EDM582171,"Bulk Foods & Wholesale Grocery>CANNED VEGETABLES",,13.10,6.70,10.80,2,4,LT
